"doyb","doya","type","count","meana","meanb","maxevi","meang1","meang2","meanDOP","meanDOH","meandoy","meanDSWR","meanTemp","meanLSWi","meanTmax","meanEVI_uncor","predictedDOP","predictedDOH"
296,48,"2018_Shanes",37,0.055,0.271,0.521,0.466,0.25,129,257,200,209.243351351351,292.526324324324,0.148297297297297,294.913,0.277405405405405,120.917364880282,253.574941759826
296,24,"2018_SIShop",37,0.037,0.25,0.59,0.553,0.34,131,254,200,209.243351351351,292.526324324324,0.132216216216216,294.913,0.257621621621622,123.68771881112,257.076389414153
296,56,"2018_The90",37,0.028,0.187,0.642,0.614,0.455,122,259,200,209.859054054054,292.502891891892,0.193594594594595,294.920432432432,0.26127027027027,119.756154284455,252.809298933408
296,48,"2018_TopofRes",37,0.015,0.251,0.623,0.608,0.372,110,241,192,209.859054054054,292.502891891892,0.19727027027027,294.920432432432,0.259486486486486,122.365498920108,255.239393628569
296,40,"2018_Way1",37,0.01,0.186,0.613,0.603,0.427,130,275,200,209.859054054054,292.502891891892,0.17727027027027,294.920432432432,0.263513513513513,118.961134193185,251.857626003827
296,64,"2018_Way2",37,0.019,0.173,0.647,0.628,0.474,120,249,184,209.859054054054,292.502891891892,0.215297297297297,294.920432432432,0.250648648648649,109.288443569794,239.817113866436
296,64,"2018_Way3",37,0.017,0.134,0.65,0.633,0.516,120,259,184,209.859054054054,292.502891891892,0.198324324324324,294.920432432432,0.240540540540541,104.849159122908,234.755880185668
296,64,"2018_Way4",37,0.025,0.133,0.592,0.567,0.459,120,242,200,209.859054054054,292.502891891892,0.161324324324324,294.920432432432,0.245135135135135,110.308652338864,241.818831204633
296,64,"2018_Way5",37,0.061,0.223,0.6,0.539,0.377,121,242,192,209.859054054054,292.502891891892,0.115486486486486,294.920432432432,0.265135135135135,114.734874815986,246.244414565557
296,56,"2018_WestBransford",37,-0.001,0.231,0.62,0.621,0.389,130,273,216,210.117540540541,292.696027027027,0.25727027027027,295.110378378378,0.273432432432432,135.159610074064,271.529807217249
296,48,"2018_WestMid40",37,0.037,0.205,0.654,0.617,0.449,103,237,184,209.859054054054,292.502891891892,0.142972972972973,294.920432432432,0.255594594594595,112.508719721104,243.46049591266
296,56,"2018_WestShop40",37,0.059,0.243,0.631,0.572,0.388,102,236,192,209.859054054054,292.502891891892,0.14172972972973,294.920432432432,0.269108108108108,119.18842103294,251.466582887291
